codigo,univComp
20030106,28
20030107,21
20030108,17
20030109,38
20030110,31
20030111,48
20030201,68
20030202,88
20030203,63
20030204,67
20030205,56
20030206,48
20030207,73
20030208,67
20030209,61
20030210,41
20030211,61
20030212,81
20030301,118
20030302,112
20030303,68
20030304,55
20030305,57
20030306,70
20030307,52
20030308,66
20030309,34
20030310,52
20030311,0
20030401,100
20030402,49
20030403,79
20030404,58
20030405,40
20030406,75
20030407,59
20030408,53
20030501,82
20030502,61
20030503,123
20030504,74
20030505,98
20030506,72
20030507,141
20030601,96
20030602,39
20030603,107
20030604,101
20030605,69
20030606,65
20030607,83
20030701,26
20030702,112
20030703,112
20030704,85
20030705,71
20030706,62
20030707,123
20030708,38
20030709,75
20030801,87
20030802,52
20030803,90
20030804,46
20030805,41
20030806,52
20030807,24
20030808,29
20030809,49
20030810,42
20030901,67
20030902,44
20030903,76
20030904,68
20030905,28
20030906,25
20030907,27
20030908,44
20030909,60
20030910,60
20031001,57
20031002,62
20031003,45
20031004,72
20031005,42
20031006,66
20031007,62
20031008,49
20031101,100
20031102,71
20031103,60
20031104,110
20031105,74
20031106,108
20031107,103
20031108,73
20031201,73
20031202,98
20031203,65
20031204,43
20031205,114
20031206,7
20031207,103
20031208,52
20031209,39
20031210,46
20031301,70
20031302,55
20031303,85
20031304,39
20031305,63
20031306,72
20031307,69
20031308,46
20031309,78
20031310,42
20031311,46
20031401,28
20031402,47
20031403,76
20031404,38
20031405,47
20031406,115
20031407,36
20031408,42
20031409,3
20031410,56
20031501,63
20031502,67
20031503,37
20031504,84
20031505,85
20031506,58
20031507,111
20031508,120
20031509,17
20031601,70
20031602,102
20031603,68
20031604,35
20031605,23
20031606,40
20031607,52
20031608,43
20031609,148
20031701,43
20031702,39
20031703,30
20031704,31
20031705,31
20031706,42
20031707,62
20031708,42
20031709,36
20031801,30
20031802,30
20031803,38
20031804,74
20031805,19
20031806,23
20031807,33
20031808,41
20031809,55
20031810,29
20031811,45
20031901,95
20031902,32
20031903,57
20031904,52
20031905,59
20031906,51
20031907,65
20031908,73
20031909,60
20031910,29
20032001,31
20032002,94
20032003,64
20032004,59
20032005,39
20032006,23
20032007,59
20032008,57
20032009,80
20032010,45
20032011,51
20032101,69
20032102,74
20032103,62
20032104,67
20032105,29
20032106,46
20032107,39
20032108,62
20032109,35
20032110,67
20032201,44
20032202,58
20032203,25
20032204,49
20032205,46
20032206,57
20032207,30
20032208,58
20032209,55
20032301,52
20032302,68
20032303,82
20032304,19
20032305,37
20032306,38
20032307,55
20032308,38
20032309,25
20032310,57
20032401,36
20032402,39
20032403,35
20032404,48
20032405,30
20032406,64
20032407,85
20032408,46
20032409,39
20032501,139
20032502,45
20032503,27
20032504,41
20032505,59
20032506,30
20032507,29
20032508,106
20032509,43
20032601,68
20032602,76
20032603,45
20032604,48
20032605,62
20032606,40
20032607,48
20032608,37
20032609,30
20032701,78
20032702,58
20032703,53
20032704,45
20032705,30
20032706,38
20032707,57
20040101,9
20040102,11
20040103,7
20040104,9
20040105,3
20040106,6
20040107,6
20040108,8
20040109,15
20040110,4
20040111,5
20040112,9
20040113,9
20040114,9
20040201,20
20040202,17
20040203,33
20040204,17
20040205,14
20040206,19
20040207,27
20040208,13
20040209,9
20040210,7
20040301,36
20040302,17
20040303,13
20040304,19
20040305,31
20040306,31
20040307,20
20040308,26
20040309,14
20040310,28
20040311,16
20040312,12
20040313,7
20040401,20
20040402,40
20040403,41
20040404,33
20040405,36
20040406,18
20040407,33
20040408,25
20040409,19
20040410,18
20040411,25
20040501,69
20040502,32
20040503,52
20040504,24
20040505,34
20040506,48
20040507,23
20040508,23
20040509,42
20040510,17
20040511,26
20040601,80
20040602,32
20040603,39
20040604,64
20040605,40
20040606,61
20040607,42
20040608,53
20040609,51
20040610,41
20040611,51
20040701,53
20040702,47
20040703,20
20040704,86
20040705,45
20040706,41
20040707,62
20040708,42
20040709,42
20040710,34
20040711,27
20040712,26
20040801,50
20040802,44
20040803,34
20040804,39
20040805,41
20040806,31
20040807,84
20040808,4
20040809,22
20040810,17
20040811,19
20040901,9
20040902,12
20040903,7
20040904,9
20040905,13
20040906,11
20040907,18
20041001,1
20041002,11
20041003,4
20041004,0
20041005,27
20041006,1
20041007,2
20041008,0
20041009,3
20041101,22
20041102,58
20041103,31
20041104,26
20041105,17
20041106,20
20041107,13
20041108,29
20041109,13
20041201,24
20041202,11
20041203,46
20041204,28
20041205,29
20041206,14
20041207,20
20041208,31
20041209,72
20041210,20
20041211,62
20041212,41
20041301,132
20041302,61
20041303,57
20041304,64
20041305,87
20041306,26
20041307,131
20041308,47
20041309,48
20041310,42
20041311,91
20041401,32
20041402,45
20041403,56
20041404,99
20041405,64
20041406,55
20041407,44
20041408,96
20041409,60
20041501,51
20041502,121
20041503,140
20041504,57
20041505,42
20041506,35
20041507,46
20041508,58
20041509,46
20041510,31
20041601,27
20041602,124
20041603,27
20041604,26
20041605,50
20041606,31
20041607,12
20041608,10
20041609,44
20041610,30
20041701,56
20041702,45
20041703,25
20041704,52
20041705,39
20041706,58
20041707,43
20041708,35
20041709,61
20041710,17
20041801,2
20041901,15
20041902,30
20041903,31
20041904,12
20041905,23
20041906,11
20041907,6
20041908,9
20041909,8
20041910,14
20042001,18
20042002,22
20042003,9
20042004,4
20042005,11
20042006,18
20042007,18
20042008,10
20042009,12
20042010,19
20042011,26
20042012,38
20042101,9
20042102,2
20042103,19
20042104,8
20042105,11
20042106,16
20042107,17
20042108,6
20042109,6
20042110,4
20042111,8
20042112,12
20042201,44
20042202,47
20042203,87
20042204,68
20042205,49
20042206,68
20042207,83
20042208,36
20042209,19
20042210,24
20042211,43
20042212,17
20042301,9
20042302,18
20042303,22
20042304,18
20042305,31
20042306,38
20042307,26
20042308,25
20042309,9
20042310,18
20042311,6
20042312,9
20042401,0
20042402,4
20042403,1
20042404,0
20042405,2
20042406,6
20042501,4
20042502,5
20042503,17
20042504,3
20042601,1
20042602,4
20042603,4
20050101,73
20050102,124
20050103,83
20050104,111
20050105,135
20050106,48
20050107,75
20050108,96
20050109,96
20050110,66
20050201,108
20050202,68
20050203,107
20050204,155
20050205,67
20050206,53
20050207,41
20050208,165
20050209,80
20050210,56
20050211,94
20050301,71
20050302,112
20050303,14
20050304,53
20050305,78
20050306,75
20050307,60
20050308,46
20050309,59
20050310,44
20050311,88
20050401,117
20050402,96
20050403,87
20050404,85
20050405,82
20050406,136
20050407,62
20050408,148
20050409,76
20050501,85
20050502,173
20050503,106
20050504,75
20050505,75
20050506,85
20050507,83
20050508,100
20050601,109
20050602,136
20050603,120
20050604,188
20050605,152
20050606,82
20050607,110
20050608,121
20050701,131
20050702,62
20050703,71
20050704,163
20050705,133
20050706,58
20050707,41
20050708,81
20050801,139
20050802,81
20050803,158
20050804,118
20050805,44
20050806,94
20050807,110
20050808,95
20050809,91
20050901,126
20050902,75
20050903,71
20050904,59
20050905,79
20050906,70
20050907,55
20050908,82
20050909,101
20050910,79
20051001,129
20051002,146
20051003,30
20051004,57
20051005,42
20051006,74
20051007,112
20051008,77
20051009,86
20051010,62
20051101,131
20051102,108
20051103,88
20051104,86
20051105,97
20051106,90
20051107,109
20051108,75
20051109,87
20051110,106
20051201,60
20051202,251
20051203,141
20051204,74
20051205,54
20051206,231
20051207,87
20051301,127
20051302,88
20051303,100
20051304,76
20051305,83
20051306,134
20051307,92
20051308,140
20051309,145
20051401,92
20051402,68
20051403,100
20051404,105
20051405,195
20051406,155
20051407,34
20051408,85
20051409,91
20051501,98
20051502,113
20051503,55
20051504,133
20051505,103
20051506,89
20051507,76
20051508,46
20051509,15
20051601,97
20051602,45
20051603,32
20051604,49
20051605,68
20051606,46
20051607,39
20051608,66
20051609,70
20051610,54
20051611,95
20051701,58
20051702,78
20051703,76
20051704,69
20051705,103
20051706,90
20051707,110
20051708,98
20051709,43
20051710,60
20051711,111
20051801,103
20051802,81
20051803,65
20051804,62
20051805,58
20051806,49
20051807,73
20051808,22
20051809,52
20051810,69
20051811,74
20051901,64
20051902,45
20051903,67
20051904,69
20051905,42
20051906,61
20051907,34
20051908,90
20051909,60
20051910,71
20051911,97
20052001,34
20052002,55
20052003,41
20052004,43
20052005,36
20052006,34
20052007,40
20052008,40
20052009,39
20052010,44
20052011,46
20052012,23
20052101,82
20052102,54
20052103,39
20052104,66
20052105,47
20052106,56
20052107,48
20052108,26
20052109,39
20052110,34
20052111,39
20052201,48
20052202,39
20052203,43
20052204,60
20052205,44
20052206,53
20052207,90
20052208,31
20052209,36
20052210,40
20052211,50
20052212,36
20052213,23
20060101,45
20060102,44
20060103,66
20060104,44
20060105,96
20060106,66
20060107,55
20060108,60
20060109,45
20060110,35
20060111,60
20060112,59
20060201,114
20060202,103
20060203,60
20060204,61
20060205,71
20060206,110
20060207,75
20060208,110
20060209,82
20060210,89
20060211,166
20060301,80
20060302,80
20060303,82
20060304,73
20060305,60
20060306,76
20060307,91
20060308,80
20060309,116
20060310,99
20060401,41
20060402,68
20060403,96
20060404,81
20060405,78
20060406,82
20060407,52
20060408,115
20060409,81
20060410,102
20060411,107
20060501,77
20060502,120
20060503,104
20060504,78
20060505,124
20060506,85
20060507,87
20060508,60
20060509,78
20060510,91
20060511,139
20060512,28
20060601,132
20060602,320
20060603,143
20060604,62
20060605,65
20060606,102
20060607,94
20060608,112
20060609,112
20060701,83
20060702,110
20060703,74
20060704,98
20060705,85
20060706,75
20060707,121
20060708,77
20060709,114
20060710,101
20060711,81
20060712,86
20060713,85
20060801,101
20060802,142
20060803,84
20060804,83
20060805,86
20060806,149
20060807,98
20060808,174
20060809,62
20060810,114
20060901,74
20060902,91
20060903,92
20060904,177
20060905,32
20060906,133
20060907,66
20060908,76
20060909,148
20060910,102
20061001,74
20061002,50
20061003,113
20061004,80
20061005,151
20061006,127
20061007,87
20061008,181
20061009,82
20061010,155
20061101,112
20061102,54
20061103,97
20061104,118
20061105,64
20061106,94
20061107,85
20061108,98
20061109,66
20061110,58
20061201,65
20061202,55
20061203,52
20061204,43
20061205,111
20061206,66
20061207,98
20061208,103
20061209,102
20061210,79
20061211,84
20061212,48
20061301,89
20061302,170
20061303,107
20061304,165
20061305,123
20061306,73
20061307,135
20061308,161
20061309,146
20061401,149
20061402,82
20061403,124
20061404,154
20061405,142
20061406,174
20061407,81
20061408,85
20061409,118
20061410,139
20061501,102
20061502,218
20061503,116
20061504,112
20061505,108
20061506,120
20061507,98
20061508,105
20061509,66
20061510,133
20061601,75
20061602,122
20061603,132
20061604,105
20061605,127
20061606,156
20061607,139
